532/1602, iter = 0.000187 seconds
533/1602, iter = 0.000181 seconds
534/1602, iter = 0.000176 seconds
535/1602, iter = 0.000177 seconds
536/1602, iter = 0.000180 seconds
537/1602, iter = 0.000175 seconds
538/1602, iter = 0.000195 seconds
539/1602, iter = 0.000180 seconds
540/1602, iter = 0.000178 seconds
541/1602, iter = 0.000176 seconds
542/1602, iter = 0.000173 seconds
543/1602, iter = 0.000182 seconds
544/1602, iter = 0.000182 seconds
545/1602, iter = 0.000176 seconds
546/1602, iter = 0.000185 seconds
547/1602, iter = 0.000176 seconds
548/1602, iter = 0.000179 seconds
549/1602, iter = 0.000177 seconds
550/1602, iter = 0.000181 seconds
551/1602, iter = 0.000186 seconds
552/1602, iter = 0.000188 seconds
553/1602, iter = 0.000178 seconds
554/1602, iter = 0.000184 seconds
555/1602, iter = 0.000181 seconds
556/1602, iter = 0.000180 seconds
557/1602, iter = 0.000195 seconds
558/1602, iter = 0.000182 seconds
559/1602, iter = 0.000182 seconds
560/1602, iter = 0.000178 seconds
561/1602, iter = 0.000172 seconds
562/1602, iter = 0.000176 seconds
563/1602, iter = 0.000185 seconds
564/1602, iter = 0.000180 seconds
565/1602, iter = 0.000189 seconds
566/1602, iter = 0.000177 seconds
567/1602, iter = 0.000180 seconds
568/1602, iter = 0.000191 seconds
569/1602, iter = 0.000195 seconds
570/1602, iter = 0.000179 seconds
571/1602, iter = 0.000178 seconds
572/1602, iter = 0.000179 seconds
573/1602, iter = 0.000179 seconds
574/1602, iter = 0.000183 seconds
575/1602, iter = 0.000177 seconds
576/1602, iter = 0.000179 seconds
577/1602, iter = 0.000189 seconds
578/1602, iter = 0.000177 seconds
579/1602, iter = 0.000188 seconds
580/1602, iter = 0.000190 seconds
581/1602, iter = 0.000183 seconds
582/1602, iter = 0.000179 seconds
583/1602, iter = 0.000178 seconds
584/1602, iter = 0.000198 seconds
585/1602, iter = 0.000180 seconds
586/1602, iter = 0.000181 seconds
587/1602, iter = 0.000174 seconds
588/1602, iter = 0.000181 seconds
589/1602, iter = 0.000177 seconds
590/1602, iter = 0.000186 seconds
591/1602, iter = 0.000178 seconds
592/1602, iter = 0.000180 seconds
593/1602, iter = 0.000179 seconds
594/1602, iter = 0.000177 seconds
595/1602, iter = 0.000177 seconds
596/1602, iter = 0.000187 seconds
597/1602, iter = 0.000177 seconds
598/1602, iter = 0.000178 seconds
599/1602, iter = 0.000180 seconds
600/1602, iter = 0.000185 seconds
601/1602, iter = 0.000185 seconds
602/1602, iter = 0.000180 seconds
603/1602, iter = 0.000178 seconds
604/1602, iter = 0.000178 seconds
605/1602, iter = 0.000183 seconds
606/1602, iter = 0.000190 seconds
607/1602, iter = 0.000188 seconds
608/1602, iter = 0.000180 seconds
609/1602, iter = 0.000178 seconds
610/1602, iter = 0.000177 seconds
611/1602, iter = 0.000181 seconds
612/1602, iter = 0.000186 seconds
613/1602, iter = 0.000178 seconds
614/1602, iter = 0.000177 seconds
615/1602, iter = 0.000174 seconds
616/1602, iter = 0.000180 seconds
617/1602, iter = 0.000173 seconds
618/1602, iter = 0.000183 seconds
619/1602, iter = 0.000180 seconds
620/1602, iter = 0.000174 seconds
621/1602, iter = 0.000175 seconds
622/1602, iter = 0.000179 seconds
623/1602, iter = 0.000183 seconds
624/1602, iter = 0.000183 seconds
625/1602, iter = 0.000173 seconds
626/1602, iter = 0.000174 seconds
627/1602, iter = 0.000177 seconds
628/1602, iter = 0.000178 seconds
629/1602, iter = 0.000183 seconds
630/1602, iter = 0.000179 seconds
631/1602, iter = 0.000178 seconds
632/1602, iter = 0.000181 seconds
633/1602, iter = 0.000178 seconds
634/1602, iter = 0.000184 seconds
635/1602, iter = 0.000181 seconds
636/1602, iter = 0.000179 seconds
637/1602, iter = 0.000174 seconds
638/1602, iter = 0.000175 seconds
639/1602, iter = 0.000176 seconds
640/1602, iter = 0.000184 seconds
641/1602, iter = 0.000179 seconds
642/1602, iter = 0.000179 seconds
643/1602, iter = 0.000199 seconds
644/1602, iter = 0.000175 seconds
645/1602, iter = 0.000180 seconds
646/1602, iter = 0.000179 seconds
647/1602, iter = 0.000180 seconds
648/1602, iter = 0.000188 seconds
649/1602, iter = 0.000185 seconds
650/1602, iter = 0.000176 seconds
651/1602, iter = 0.000184 seconds
652/1602, iter = 0.000181 seconds
653/1602, iter = 0.000180 seconds
654/1602, iter = 0.000184 seconds
655/1602, iter = 0.000178 seconds
656/1602, iter = 0.000181 seconds
657/1602, iter = 0.000178 seconds
658/1602, iter = 0.000177 seconds
659/1602, iter = 0.000188 seconds
660/1602, iter = 0.000228 seconds
661/1602, iter = 0.000186 seconds
662/1602, iter = 0.000179 seconds
663/1602, iter = 0.000181 seconds
664/1602, iter = 0.000179 seconds
665/1602, iter = 0.000186 seconds
666/1602, iter = 0.000198 seconds
667/1602, iter = 0.000190 seconds
668/1602, iter = 0.000190 seconds
669/1602, iter = 0.000178 seconds
670/1602, iter = 0.000198 seconds
671/1602, iter = 0.000178 seconds
672/1602, iter = 0.000189 seconds
673/1602, iter = 0.000183 seconds
674/1602, iter = 0.000179 seconds
675/1602, iter = 0.000193 seconds
676/1602, iter = 0.000197 seconds
